File,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,??
unknown,32.1861,0.3469489,23.07298,29.10519,45.53634,22.46336,542.9994,720.2556,179.3394,210.0353,0.6255486,0.5701932,0.2869079,0.5697026,0.9018369,0.614929,9.374742,5.873409,6.77473,3.695726,0.3886918,0.9625993,12.49374,0.8802538,4.278125,3.683264,-0.0843773,-170.6346,10.25685,1.400709,0.1072471,1.129624,1.800164,0.478352,-0.3886284,-9.534026,-1.859185,-6.58191,7.056904,2.185143,806.4437,0.4096763,1024.085,0.3358058,-71.25511,-1.252532,1844.164,0.154348,870.1935,0.3631627,-64.55494,-1.340983,2875.592,0.1457193,879.5713,0.4684748,-67.85856,-1.241566,-6.584353,-1.58511,12.21543,0.9623507,0.09480859,0.4192135,-0.0180133,-0.6246657,0.4688039,0.8780189,14.51225,0.6716321,2.206434,7.36085,-0.3104298,-49.98777,9.643618,1.534664,-4.367462,9.4121,0.07516379,-0.01248415,0.2215544,4.3257,3.457106,0.1896296,0.149604,0.09857142,0.07510536,-32.74193,?
unknown,32.1861,0.3469489,23.07298,29.10519,45.53634,22.46336,542.9994,720.2556,179.3394,210.0353,0.6255486,0.5701932,0.2869079,0.5697026,0.9018369,0.614929,9.374742,5.873409,6.77473,3.695726,0.3886918,0.9625993,12.49374,0.8802538,4.278125,3.683264,-0.0843773,-170.6346,10.25685,1.400709,0.1072471,1.129624,1.800164,0.478352,-0.3886284,-9.534026,-1.859185,-6.58191,7.056904,2.185143,806.4437,0.4096763,1024.085,0.3358058,-71.25511,-1.252532,1844.164,0.154348,870.1935,0.3631627,-64.55494,-1.340983,2875.592,0.1457193,879.5713,0.4684748,-67.85856,-1.241566,-6.584353,-1.58511,12.21543,0.9623507,0.09480859,0.4192135,-0.0180133,-0.6246657,0.4688039,0.8780189,14.51225,0.6716321,2.206434,7.36085,-0.3104298,-49.98777,9.643618,1.534664,-4.367462,9.4121,0.07516379,-0.01248415,0.2215544,4.3257,3.457106,0.1896296,0.149604,0.09857142,0.07510536,-32.74193,?
unknown,32.1861,0.3469489,23.07298,29.10519,45.53634,22.46336,542.9994,720.2556,179.3394,210.0353,0.6255486,0.5701932,0.2869079,0.5697026,0.9018369,0.614929,9.374742,5.873409,6.77473,3.695726,0.3886918,0.9625993,12.49374,0.8802538,4.278125,3.683264,-0.0843773,-170.6346,10.25685,1.400709,0.1072471,1.129624,1.800164,0.478352,-0.3886284,-9.534026,-1.859185,-6.58191,7.056904,2.185143,806.4437,0.4096763,1024.085,0.3358058,-71.25511,-1.252532,1844.164,0.154348,870.1935,0.3631627,-64.55494,-1.340983,2875.592,0.1457193,879.5713,0.4684748,-67.85856,-1.241566,-6.584353,-1.58511,12.21543,0.9623507,0.09480859,0.4192135,-0.0180133,-0.6246657,0.4688039,0.8780189,14.51225,0.6716321,2.206434,7.36085,-0.3104298,-49.98777,9.643618,1.534664,-4.367462,9.4121,0.07516379,-0.01248415,0.2215544,4.3257,3.457106,0.1896296,0.149604,0.09857142,0.07510536,-32.74193,?
unknown,3.218610e+01,3.469489e-01,2.307298e+01,2.910519e+01,4.553634e+01,2.246336e+01,5.429994e+02,7.202556e+02,1.793394e+02,2.100353e+02,6.255486e-01,5.701932e-01,2.869079e-01,5.697026e-01,9.018369e-01,6.149290e-01,9.374742e+00,5.873409e+00,6.774730e+00,3.695726e+00,3.886918e-01,9.625993e-01,1.249374e+01,8.802538e-01,4.278125e+00,3.683264e+00,-8.437730e-02,-1.706346e+02,1.025685e+01,1.400709e+00,1.072471e-01,1.129624e+00,1.800164e+00,4.783520e-01,-3.886284e-01,-9.534026e+00,-1.859185e+00,-6.581910e+00,7.056904e+00,2.185143e+00,8.064437e+02,4.096763e-01,1.024085e+03,3.358058e-01,-7.125511e+01,-1.252532e+00,1.844164e+03,1.543480e-01,8.701935e+02,3.631627e-01,-6.455494e+01,-1.340983e+00,2.875592e+03,1.457193e-01,8.795713e+02,4.684748e-01,-6.785856e+01,-1.241566e+00,-6.584353e+00,-1.585110e+00,1.221543e+01,9.623507e-01,9.480859e-02,4.192135e-01,-1.801330e-02,-6.246657e-01,4.688039e-01,8.780189e-01,1.451225e+01,6.716321e-01,2.206434e+00,7.360850e+00,-3.104298e-01,-4.998777e+01,9.643618e+00,1.534664e+00,-4.367462e+00,9.412100e+00,7.516379e-02,-1.248415e-02,2.215544e-01,4.325700e+00,3.457106e+00,1.896296e-01,1.496040e-01,9.857142e-02,7.510536e-02,-3.274193e+01,?
